66000	0.96	0.95	0.94	0.93	0.99	0.98	0.98	0.98	0.96	0.94	0.93	0.92
132000	0.94	0.9	0.84	0.83	0.96	0.89	0.87	0.85	0.94	0.86	0.81	0.79
198000	0.92	0.88	0.82	0.8	0.95	0.88	0.76	0.74	0.93	0.85	0.8	0.78
264000	0.89	0.85	0.79	0.78	0.93	0.86	0.74	0.73	0.9	0.82	0.77	0.76
330000	0.86	0.82	0.76	0.74	0.9	0.83	0.72	0.7	0.87	0.79	0.74	0.73
396000	0.83	0.79	0.73	0.72	0.88	0.81	0.69	0.68	0.85	0.77	0.72	0.71
462000	0.85	0.81	0.75	0.73	0.87	0.8	0.68	0.67	0.86	0.78	0.73	0.71
528000	0.88	0.84	0.78	0.76	0.85	0.76	0.64	0.63	0.89	0.81	0.76	0.73
594000	0.94	0.9	0.84	0.82	0.9	0.85	0.73	0.71	0.92	0.84	0.79	0.76
660000	0.96	0.92	0.86	0.84	0.93	0.88	0.76	0.74	0.95	0.87	0.82	0.78
